date,avgTemp
2018-09-07,19.5
2018-09-08,19.3
2018-09-09,17.9
2018-09-10,18.3
2018-09-11,19.4
2018-09-12,21.6
2018-09-13,20.6
2018-09-14,22.8
2018-09-15,23.1
2018-09-16,24.5
2018-09-17,26.1
2018-09-18,22.9
2018-09-19,20.8
2018-09-20,24.1
2018-09-21,26.1
2018-09-22,14.8
2018-09-23,15.4
2018-09-24,18.2
2018-09-25,22.7
2018-09-26,16.1
2018-09-27,14.8
2018-09-28,14.6
2018-09-29,10.2
2018-09-30,13.7
2018-10-01,16.0
2018-10-02,16.7
2018-10-03,20.9
2018-10-04,18.8
2018-10-05,14.1
2018-10-06,17.6
2018-10-07,14.4
2018-10-08,20.8
2018-10-09,24.6
2018-10-10,22.7
2018-10-11,10.2
2018-10-12,4.7
2018-10-13,4.9
2018-10-14,8.0
2018-10-15,6.6
2018-10-16,6.3
2018-10-17,8.7
2018-10-18,7.2
2018-10-19,9.7
2018-10-20,8.7
2018-10-21,3.0
2018-10-22,8.9
2018-10-23,9.6
2018-10-24,6.5
2018-10-25,6.6
2018-10-26,9.1
2018-10-27,9.5
2018-10-28,8.4
2018-10-29,8.3
2018-10-30,10.8
2018-10-31,11.9
2018-11-01,10.3
2018-11-02,6.7
2018-11-03,5.7
2018-11-04,8.9
2018-11-05,8.9
2018-11-06,8.7
2018-11-07,3.5
2018-11-08,1.8
2018-11-09,1.2
2018-11-10,-3.9
2018-11-11,0.3
2018-11-12,0.6
2018-11-13,-4.1
2018-11-14,-4.1
2018-11-15,-0.6
2018-11-16,1.2
2018-11-17,1.0
2018-11-18,0.6
2018-11-19,-2.4
2018-11-20,-0.2
2018-11-21,0.1
2018-11-22,1.1
2018-11-23,4.3
2018-11-24,7.2
2018-11-25,3.6
2018-11-26,-1.1
2018-11-27,-4.7
2018-11-28,-5.7
2018-11-29,-1.2
2018-11-30,1.0
2018-12-01,3.2
2018-12-02,5.2
2018-12-03,1.3
2018-12-04,-0.8
2018-12-05,-2.1
2018-12-06,-0.7
2018-12-07,-6.3
2018-12-08,-4.3
2018-12-09,-4.3
2018-12-10,-4.9
2018-12-11,-1.3
2018-12-12,1.1
2018-12-13,0.3
2018-12-14,3.8
2018-12-15,1.8
2018-12-16,1.7
2018-12-17,2.6
2018-12-18,0.5
2018-12-19,3.9
2018-12-20,6.5
2018-12-21,1.6
2018-12-22,-1.2
2018-12-23,0.4
2018-12-24,-1.8
2018-12-25,0.9
2018-12-26,1.3
2018-12-27,5.6
2018-12-28,5.5
2018-12-29,-1.8
2018-12-30,-3.6
2018-12-31,1.3
